"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison"
"dme-miR-375-3p_MIMAT0005472",4203.73227359173,-0.968247954439406,0.262182865116641,-3.69302530128598,0.000221601965694313,0.00225757002551082,"age_old_vs_young"
"dme-miR-375-5p_MIMAT0020853",16.2757775550735,-2.91871743147952,0.93101235130772,-3.13499324405291,0.00171858069400335,0.0107741789662518,"age_old_vs_young"
"dme-miR-1004-3p_MIMAT0005017",159.504340727943,-1.41776388722302,0.402641371626263,-3.52115800096919,0.000429666517032868,0.00359157139878757,"age_old_vs_young"
"dme-miR-1004-5p_MIMAT0032027",1714.21474020455,-0.88848222708605,0.163110415642174,-5.44712134775729,5.11915402647252e-08,1.66884421263004e-06,"age_old_vs_young"
"dme-miR-960-5p_MIMAT0005474",8.92466319826937,-2.90061495051527,0.868159487335385,-3.34110839405561,0.000834446387479904,0.00578786217698827,"age_old_vs_young"
"dme-miR-263a-3p_MIMAT0020799",1250.36364455686,1.11012170439552,0.258876457069668,4.28822967125498,1.80102816660145e-05,0.000283129805888005,"age_old_vs_young"
"dme-miR-2489-3p_MIMAT0012196",160.73781589031,-0.926105481849477,0.279048607436434,-3.31879628555551,0.00090406356910486,0.00614009840683717,"age_old_vs_young"
"dme-miR-306-3p_MIMAT0000394",322.797957616155,0.870072152811086,0.329332402524349,2.64192695933331,0.00824358314324164,0.037325112565233,"age_old_vs_young"
"dme-miR-124-3p_MIMAT0000351",7653.71451571881,0.753476242466811,0.280753078955151,2.68376840343459,0.0072797515450149,0.0339028429096408,"age_old_vs_young"
"dme-let-7-5p_MIMAT0000396",580152.982809922,-0.621507543824519,0.231026204273743,-2.69020367528565,0.00714084216795665,0.0337378919819401,"age_old_vs_young"
"dme-let-7-3p_MIMAT0020830",255.939536075577,0.89215821282689,0.304257770161267,2.93224463044613,0.00336521554195204,0.0182843377779394,"age_old_vs_young"
"dme-miR-2a-2-5p_MIMAT0020781",6173.35517365125,0.817727055813411,0.179040096260841,4.567284495994,4.94083218981168e-06,8.47742786251898e-05,"age_old_vs_young"
"dme-miR-1-3p_MIMAT0000105",13728.6865556717,-1.82258802929818,0.583915299274022,-3.12132261573587,0.00180040676682067,0.0110742001128969,"age_old_vs_young"
"dme-miR-133-3p_MIMAT0000340",788410.321368986,-1.09522336246944,0.256187841583287,-4.27507939370098,1.91069194157549e-05,0.000283129805888005,"age_old_vs_young"
"dme-miR-133-5p_MIMAT0020806",880.189621302084,-0.449668460284446,0.15884035802361,-2.83094589989282,0.00464105703570556,0.0229240089945457,"age_old_vs_young"
"dme-miR-4976-5p_MIMAT0020206",55.2577536584933,2.12148373527125,0.430756900858673,4.92501392558604,8.43543466997952e-07,2.17406159244574e-05,"age_old_vs_young"
"dme-miR-281-3p_MIMAT0000345",2726.4872289942,0.528582454724933,0.11214252996789,4.71348787009072,2.43512227207428e-06,4.66970506291892e-05,"age_old_vs_young"
"dme-miR-281-3p_MIMAT0000345_1",2678.93192700322,0.543122746162806,0.115032312767113,4.72147984421019,2.34134836869763e-06,4.66970506291892e-05,"age_old_vs_young"
"dme-miR-184-5p_MIMAT0000330",180.520578376238,1.26792801497329,0.378695359679777,3.34814774610771,0.000813536280649353,0.00576549624981933,"age_old_vs_young"
"dme-miR-184-3p_MIMAT0000331",3302472.28644766,-2.43421833843464,0.511898026661139,-4.75527978553045,1.98171772048153e-06,4.30693317917985e-05,"age_old_vs_young"
"dme-miR-989-3p_MIMAT0005506",37.9993051141511,4.29853312244407,1.50074390027692,2.8642682616607,0.00417973865480163,0.0216284889121481,"age_old_vs_young"
