mirID 	youngRep1_AS_ZT0	youngRep1_AS_ZT4	youngRep1_AS_ZT8	youngRep1_AS_ZT12	youngRep1_AS_ZT16	youngRep1_AS_ZT20	youngRep2_AS_ZT0	youngRep2_AS_ZT4	youngRep2_AS_ZT8	youngRep2_AS_ZT12	youngRep2_AS_ZT16	youngRep2_AS_ZT20	oldRep1_AS_ZT0	oldRep1_AS_ZT4	oldRep1_AS_ZT8	oldRep1_AS_ZT12	oldRep1_AS_ZT16	oldRep1_AS_ZT20	oldRep2_AS_ZT0	oldRep2_AS_ZT4	oldRep2_AS_ZT8	oldRep2_AS_ZT12	oldRep2_AS_ZT16	oldRep2_AS_ZT20
dme-miR-965-3p_MIMAT0005480 	262.0 	400.0 	519.0 	724.0 	646.0 	442.0 	618.0 	686.0 	730.0 	676.0 	362.0 	539.0 	798.0 	679.0 	549.0 	826.0 	788.0 	492.0 	880.0 	731.0 	884.0 	692.0 	455.0 	489.0 
dme-miR-965-5p_MIMAT0020861 	179.0 	345.0 	385.0 	278.0 	530.0 	444.0 	431.0 	471.0 	665.0 	499.0 	372.0 	448.0 	319.0 	221.0 	288.0 	412.0 	409.0 	331.0 	301.0 	289.0 	277.0 	372.0 	217.0 	293.0 
dme-miR-375-3p_MIMAT0005472 	2528.33333333 	6414.83333333 	8166.0 	6828.18888889 	6028.16666667 	6875.0 	5819.66666667 	6235.66666667 	5943.66666667 	5670.33333333 	5055.18888889 	6071.33333333 	2392.33333333 	2370.83333333 	1977.33333333 	3279.5 	2773.16666667 	3035.0 	3093.0 	2734.16666667 	2835.91666667 	3874.0 	3088.16666667 	1931.83333333 
dme-miR-375-5p_MIMAT0020853 	41.0 	33.0 	41.0 	13.0 	16.0 	18.0 	14.0 	39.0 	25.0 	28.0 	14.0 	14.0 	5.0 	11.0 	4.0 	3.0 	3.0 	2.0 	8.0 	5.0 	3.0 	22.0 	10.0 	3.0 
dme-miR-2280-5p_MIMAT0011786 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-2280-3p_MIMAT0011787 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	1.0 	0.0 	0.0 	0.0 	0.0 	4.0 	4.0 	1.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	0.0 	0.0 	1.0 
dme-miR-4914-5p_MIMAT0020507 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	2.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.0 	1.0 	1.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-4971-5p_MIMAT0020198 	9.0 	18.0 	16.0 	5.0 	7.0 	10.5 	10.0 	14.0 	17.0 	15.0 	13.0 	7.0 	8.0 	9.0 	9.0 	10.0 	6.0 	14.0 	10.0 	17.0 	6.0 	15.0 	11.0 	6.0 
dme-miR-4972-5p_MIMAT0020199 	0.0 	0.0 	1.0 	3.0 	3.0 	0.0 	2.0 	3.0 	2.0 	0.0 	1.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 
dme-miR-4972-3p_MIMAT0020200 	13.0 	7.0 	6.0 	10.0 	17.0 	11.0 	12.0 	10.0 	17.0 	13.0 	9.0 	12.0 	13.0 	8.0 	17.0 	17.0 	17.0 	2.0 	15.0 	17.0 	9.0 	5.0 	6.0 	7.0 
dme-miR-1004-3p_MIMAT0005017 	94.5 	177.0 	259.0 	345.0 	259.0 	201.0 	253.0 	271.5 	379.5 	250.0 	181.0 	175.0 	74.0 	80.0 	64.0 	177.0 	237.0 	94.0 	88.0 	73.0 	89.0 	88.0 	67.0 	74.0 
dme-miR-1004-5p_MIMAT0032027 	1300.0 	2230.0 	2169.0 	1892.0 	2540.0 	2354.0 	2334.0 	2540.0 	2803.0 	2299.0 	1715.0 	2370.0 	1459.0 	1138.0 	1161.0 	1556.0 	1401.0 	1516.0 	1174.0 	1379.5 	1171.0 	1534.0 	1045.0 	1193.0 
dme-miR-1005-3p_MIMAT0005018 	7.0 	37.0 	35.3333333333 	39.3333333333 	32.0 	40.0 	38.3333333333 	21.6666666667 	55.0 	47.0 	34.3333333333 	32.6666666667 	50.6666666667 	27.6666666667 	35.0 	47.0 	55.0 	30.0 	54.3333333333 	51.8333333333 	49.6666666667 	32.6666666667 	29.6666666667 	41.6666666667 
dme-miR-4910-5p_MIMAT0020503 	0.0 	0.0 	1.0 	0.0 	1.0 	0.0 	1.0 	0.0 	1.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	2.0 	1.0 	0.0 	0.0 	0.0 
dme-miR-4912-5p_MIMAT0020505 	1.0 	1.0 	1.0 	2.0 	3.0 	4.0 	1.0 	0.0 	6.0 	4.0 	7.0 	11.0 	1.0 	6.0 	1.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	2.0 	1.0 	2.0 
